#depth variance  VR       nsta
  5  1.745e-05  2.237e+01   6
#mxx        mxy        mxz        myy        myz        mzz
 8.510e+23  1.147e+24  8.502e+23 -8.581e+23 -3.604e+23  7.136e+21
#st1 rk1 dp1 st2 rk2 dp2
252 -147  89 161  -1  57
#pdc pclvd piso
 92   8   0

#filename
DCZ.data
#dt   npts  dist   Az   Zcor VR
1.000  120  97.8 195.2   59 -2.696e+01
#data T          R          Z    synth T          R          Z
 9.329e-04 -9.041e-04 -9.603e-04  6.925e-04 -1.084e-03 -7.339e-04
 1.201e-03 -1.022e-03 -1.048e-03  8.205e-04 -1.627e-03 -6.410e-04
 1.433e-03 -1.076e-03 -1.045e-03  9.233e-04 -2.203e-03 -4.684e-04
 1.596e-03 -1.041e-03 -9.373e-04  9.849e-04 -2.787e-03 -2.085e-04
 1.656e-03 -8.958e-04 -7.215e-04  9.893e-04 -3.345e-03  1.404e-04
 1.585e-03 -6.278e-04 -4.033e-04  9.215e-04 -3.840e-03  5.727e-04
 1.360e-03 -2.311e-04  1.766e-06  7.693e-04 -4.233e-03  1.074e-03
 9.722e-04  2.880e-04  4.678e-04  5.247e-04 -4.483e-03  1.623e-03
 4.222e-04  9.124e-04  9.603e-04  1.857e-04 -4.555e-03  2.187e-03
-2.727e-04  1.611e-03  1.439e-03 -2.426e-04 -4.417e-03  2.727e-03
-1.081e-03  2.344e-03  1.858e-03 -7.467e-04 -4.050e-03  3.199e-03
-1.956e-03  3.059e-03  2.175e-03 -1.305e-03 -3.448e-03  3.554e-03
-2.842e-03  3.701e-03  2.349e-03 -1.885e-03 -2.621e-03  3.745e-03
-3.671e-03  4.209e-03  2.349e-03 -2.450e-03 -1.597e-03  3.726e-03
-4.375e-03  4.527e-03  2.156e-03 -2.953e-03 -4.218e-04  3.462e-03
-4.886e-03  4.605e-03  1.765e-03 -3.346e-03  8.391e-04  2.930e-03
-5.143e-03  4.405e-03  1.188e-03 -3.581e-03  2.106e-03  2.125e-03
-5.100e-03  3.906e-03  4.557e-04 -3.611e-03  3.289e-03  1.062e-03
-4.728e-03  3.108e-03 -3.873e-04 -3.401e-03  4.303e-03 -2.152e-04
-4.023e-03  2.030e-03 -1.281e-03 -2.928e-03  5.089e-03 -1.629e-03
-3.002e-03  7.161e-04 -2.157e-03 -2.191e-03  5.632e-03 -3.072e-03
-1.711e-03 -7.685e-04 -2.943e-03 -1.211e-03  5.955e-03 -4.421e-03
-2.188e-04 -2.340e-03 -3.566e-03 -3.769e-05  6.086e-03 -5.556e-03
 1.387e-03 -3.904e-03 -3.966e-03  1.257e-03  6.041e-03 -6.373e-03
 3.003e-03 -5.355e-03 -4.093e-03  2.580e-03  5.821e-03 -6.789e-03
 4.520e-03 -6.591e-03 -3.920e-03  3.820e-03  5.427e-03 -6.747e-03
 5.828e-03 -7.515e-03 -3.442e-03  4.858e-03  4.861e-03 -6.223e-03
 6.830e-03 -8.050e-03 -2.682e-03  5.573e-03  4.118e-03 -5.232e-03
 7.445e-03 -8.137e-03 -1.684e-03  5.858e-03  3.196e-03 -3.835e-03
 7.620e-03 -7.750e-03 -5.189e-04  5.648e-03  2.098e-03 -2.142e-03
 7.332e-03 -6.891e-03  7.288e-04  4.953e-03  8.490e-04 -3.148e-04
 6.592e-03 -5.599e-03  1.962e-03  3.882e-03 -4.944e-04  1.451e-03
 5.447e-03 -3.940e-03  3.084e-03  2.599e-03 -1.837e-03  2.958e-03
 3.972e-03 -2.014e-03  4.002e-03  1.253e-03 -3.056e-03  4.075e-03
 2.270e-03  6.118e-05  4.640e-03 -4.517e-05 -4.043e-03  4.769e-03
 4.599e-04  2.153e-03  4.946e-03 -1.205e-03 -4.744e-03  5.072e-03
-1.334e-03  4.127e-03  4.894e-03 -2.156e-03 -5.150e-03  5.020e-03
-2.987e-03  5.852e-03  4.489e-03 -2.857e-03 -5.268e-03  4.650e-03
-4.393e-03  7.217e-03  3.764e-03 -3.293e-03 -5.113e-03  4.030e-03
-5.463e-03  8.133e-03  2.781e-03 -3.472e-03 -4.722e-03  3.244e-03
-6.140e-03  8.547e-03  1.620e-03 -3.417e-03 -4.146e-03  2.370e-03
-6.397e-03  8.439e-03  3.765e-04 -3.165e-03 -3.439e-03  1.481e-03
-6.242e-03  7.828e-03 -8.529e-04 -2.763e-03 -2.658e-03  6.427e-04
-5.712e-03  6.768e-03 -1.974e-03 -2.258e-03 -1.858e-03 -9.590e-05
-4.870e-03  5.345e-03 -2.906e-03 -1.702e-03 -1.085e-03 -7.001e-04
-3.799e-03  3.666e-03 -3.587e-03 -1.137e-03 -3.801e-04 -1.151e-03
-2.593e-03  1.856e-03 -3.976e-03 -6.018e-04  2.291e-04 -1.443e-03
-1.348e-03  4.265e-05 -4.062e-03 -1.268e-04  7.236e-04 -1.585e-03
-1.547e-04 -1.652e-03 -3.856e-03  2.676e-04  1.096e-03 -1.593e-03
 9.086e-04 -3.119e-03 -3.392e-03  5.698e-04  1.346e-03 -1.492e-03
 1.781e-03 -4.274e-03 -2.724e-03  7.768e-04  1.483e-03 -1.310e-03
 2.422e-03 -5.058e-03 -1.918e-03  8.925e-04  1.523e-03 -1.076e-03
 2.813e-03 -5.447e-03 -1.046e-03  9.269e-04  1.482e-03 -8.179e-04
 2.958e-03 -5.444e-03 -1.807e-04  8.936e-04  1.381e-03 -5.603e-04
 2.878e-03 -5.084e-03  6.130e-04  8.089e-04  1.240e-03 -3.234e-04
 2.610e-03 -4.426e-03  1.280e-03  6.895e-04  1.078e-03 -1.220e-04
 2.199e-03 -3.545e-03  1.781e-03  5.517e-04  9.115e-04  3.443e-05
 1.697e-03 -2.531e-03  2.094e-03  4.100e-04  7.529e-04  1.417e-04
 1.156e-03 -1.471e-03  2.213e-03  2.766e-04  6.119e-04  2.003e-04
 6.237e-04 -4.504e-04  2.150e-03  1.606e-04  4.943e-04  2.146e-04
 1.418e-04  4.574e-04  1.930e-03  6.798e-05  4.028e-04  1.919e-04
-2.583e-04  1.196e-03  1.589e-03  1.827e-06  3.368e-04  1.412e-04
-5.556e-04  1.728e-03  1.168e-03 -3.757e-05  2.936e-04  7.225e-05
-7.400e-04  2.037e-03  7.118e-04 -5.220e-05  2.690e-04 -5.129e-06
-8.121e-04  2.127e-03  2.631e-04 -4.577e-05  2.577e-04 -8.205e-05
-7.812e-04  2.020e-03 -1.407e-04 -2.312e-05  2.541e-04 -1.510e-04
-6.640e-04  1.750e-03 -4.700e-04  1.032e-05  2.528e-04 -2.063e-04
-4.825e-04  1.364e-03 -7.048e-04  4.912e-05  2.493e-04 -2.440e-04
-2.615e-04  9.098e-04 -8.355e-04  8.820e-05  2.400e-04 -2.624e-04
-2.604e-05  4.380e-04 -8.630e-04  1.232e-04  2.223e-04 -2.612e-04
 1.999e-04 -6.260e-06 -7.970e-04  1.508e-04  1.950e-04 -2.420e-04
 3.960e-04 -3.856e-04 -6.549e-04  1.687e-04  1.581e-04 -2.074e-04
 5.463e-04 -6.723e-04 -4.593e-04  1.757e-04  1.125e-04 -1.609e-04
 6.402e-04 -8.507e-04 -2.351e-04  1.715e-04  5.991e-05 -1.064e-04
 6.731e-04 -9.163e-04 -7.643e-06  1.571e-04  2.769e-06 -4.801e-05
 6.458e-04 -8.755e-04  2.002e-04  1.338e-04 -5.630e-05  1.044e-05
